FINISA nº 0630062-95/2024 – Investimento em Infraestrutura Urbana - Fonte 1257,,,,,
,,,,,
DOTAÇÃO ORÇAMENTÁRIA,PROJETOS/AÇÕES DE INVESTIMENTO,VALORES APROVADOS,PAGO,SALDO,% DE EXECUÇÃO
08.010.10.302.0012.1.036.4.4.90.51,Ampliação e/ou reforma do Hospital Municipal,"3.662.363,07","1.270.627,39","2.391.735,68",35%
VALORES TOTAIS,,"200.000.000,00","141.686.982,07","48.953.017,93",
,,,,,
,,,,,
,,,,,
Contrato de Financiamento FINISA nº 0612.664-90/2023 – Despesas de Capital Fonte 41197,,,,,
,,,,,
DOTAÇÃO ORÇAMENTÁRIA,PROJETOS/AÇÕES DE INVESTIMENTO,VALORES APROVADOS,PAGO,SALDO,% DE EXECUÇÃO
,Outros tipos de investimentos,"38.785.053,07","16.623.316,70","22.161.736,37",
03.010.15.451.0014.1.002.4.4.90.61,Pagamento de desapropriação de áreas,"38.785.053,07","16.623.316,70","22.161.736,37","42,86%"
,,,,,
,Contrapartida em contratos e convênios de repasse com a CAIXA,"330.979,73","0,00","330.979,73",
15.010.27.812.0013.1.016.4.4.90.51,Contrato de Repasse nº 941449/23 - Reforma de Salão em alvenaria na Vila Olímpica,"330.979,73","0,00","330.979,73","0,00%"
,,,,,
,"Eficiência energética, iluminação em LED, equupamentos para geração de energia fotovoltaica e eólica","28.287.581,98","6.636.904,61","21.650.677,37",
19.010.15.451.0014.1.127.4.4.90.51,Implantação de Usina fotovoltaica,"28.287.581,98","6.636.904,61","21.650.677,37",23%
,,,,,
,"Unidades de Saúde, Hospitais, Laboratórios","1.000,00","0,00","1.000,00",
08.010.10.302.0012.1.017.4.4.90.51,Construção de Unidades de Média e Alta Complexidade,"1.000,00","0,00","1.000,00","0,00%"
,,,,,
,"Praças, espaços e prédios públicos, parquinhos, jardins, monumentos, cemitérios","301.000,00","0,00","301.000,00",
13.020.08.244.0022.1.091.4.4.90.51,Ampliação e/ou reforma dos Centros Comunitários de Múltiplo Uso,"301.000,00","0,00","301.000,00",0%
,,,,,
,"Espaços esportivos, lazer, culturais","9.020,27","0,00","9.020,27",
15.010.27.812.0013.1.016.4.4.90.51,Melhorias em espaços esportivos e de lazer,"9.020,27","0,00","9.020,27",0%
,,,,,
,"Pavimentação, calçamento, recapeamento, reperfilamento e afins (exceto rodovias)","12.285.364,95","11.863.071,38","422.293,57",
19.010.15.452.0010.2.126.4.4.90.39,Manutenção da pavimentação asfáltica e galerias pluviais (Recapeamento),"12.284.364,95","11.863.071,38","421.293,57",97%
20.010.15.451.0014.1.014.4.4.90.51,Execução de pavimentação asfáltica,"1.000,00","0,00","1.000,00",0%
VALORES TOTAIS,,"80.000.000,00","35.123.292,69","44.876.707,31",
