BANCO,CONTA CORRENTE,FONTE DE RECURSO,PROGRAMAS E CONVÊNIOS,DESCRIÇÃO,SECRETARIA,N° SEI,OBSERVAÇÕES,RESPONSÁVEL
CAIXA,(71031-9) 574190532-0,31194,Transferegov 909073/20,Construção do Centro de Eventos Oscar Niemeyer (Deputado Ricardo Barros),SAET/SEMOP,Execução: 00007091/2023.81,,ERICK
CAIXA,(71043-2) 574190534-6,31695,Transferegov 915290/2021,Torre de Controle Aeroporto,SEMOP,,,CLÁUDIA
CAIXA,(71048-3) 575238287-0,41197,Contrato de Financiamento,Programa FINISA - Usinas fotovoltaicas – n° 0612664-90/2023,SEINFRA,Execução: 00001282/2024.72,,ERICK
CAIXA,(71054-8) 575238289-7,1257,Contrato de Financiamento,Programa FINISA (200 milhões) nº 0630062-95/2024,,SEI EXECUÇÃO 00088874/2024.45,"R$ 200.000.000,00",CAMILA
CAIXA,(71052-1) 574702728-6,1254,Itaipu - 4115200/2023,"Implantação das ativ. de saneamento ambiental, manejo de água e solo, energias renováveis e obras sociais - BIODIGESTOR",SETRAB,SEI EXECUÇÃO 149004/2023.60,"R$ 5.036.760,00",A DEFINIR
CAIXA,71053-0 (574190535-4),1297,Transferegov 952959/2023,"Ampliação, reforma e modernização do Terminal de Passageiros do aeroporto",SEMOP/AEROPORTO,Execução: 149906/2023.20,sem fonte – não cadastrado,ERICK
CAIXA,(71063-7) 575238294-3,1279,Itaipu - 4500077364/2024,Desenvolvimento do Projeto “Ciclovia da Avenida Tuiuti”,SEMOP,SEI EXECUÇÃO 00155565/2024.96,,A DEFINIR
CAIXA,(647071-9) 574190537-0,31189,Transferegov 899114/20,Implantar Sinalização Turística (Ênio Verri),SAET/SEMOP,,cadastrado,CLÁUDIA
CAIXA,(647077-8) 574190541-9,1398,Transferegov 941449/2023,Reforma no Complexo Esportivo da Vila Olímpica,SESP/SEMOP,Execução70207/2023.45,"Usará 330.979,73 do finisa fotovoltaica como CTP",CLÁUDIA
CAIXA,(647078-6) 574190542-7,1253,Transferegov 952531/23,Reforma e Construção de Infraestrutura do Parque Alfredo W. Nyffeler,SEMOP,SEI EXECUÇÃO 00149286/2023.76,"FEDERAL repasse R$ 2.199.712,00 CTP R$ 25.000,00",CAMILA
CAIXA,(647079-4) 574190543-5,1293,Transferegov 967927/2024,Construção do Espaço Esportivo Comunitário Honorato Vecchi (Novo PAC),SESP/SEMOP,Execução: 131974/2024.54,"repasse R$ 1.462.500,00 SEM CONTRAPARTIDA",ERICK
CAIXA,(71030-0) 574427549-1,31357,Transferegov 853339/2017,Fundo Municipal Saúde,SAÚDE,,,CLÁUDIA
CAIXA,573375754-6,Definindo,Transferegov 981389/2025,Aquisição de materiais e implementação e desenvolvimento de Projeto Esportivo,SESP,Execução: 187738/2025.57,"Repasse R$ 538.915,00 Contrapartida R$ 5.450,00",CLÁUDIA
CAIXA,573365912-9,Definindo,,Passou a ser conta do BB– Aquisição de equipamentos para o HMM,SAÚDE,Formalização: 123666/2025.85,toppa cancelou a c.c. no banco???,CLÁUDIA
CAIXA,570173663-2,1411,Transferegov 993763/2026,Implantação do CEU da Cultura – Novo PAC (reforma da infraestrutura),SEMUC,SEI EXECUÇÃO 01.04.00065899/2026.49 Formalização: 122798/2023.71,"FEDERAL repasse: 2.604.741,43 SEM CONTRAPARTIDA",CAMILA
CAIXA,574600791-5,1295,Transferência Especial,Emenda Parlamentar: 202533320005-RICARDO BARROS (Reforma das Capelas Santa Cruz e Nossa Senhora Aparecida) – CUSTEIO,SAET,SEI EXECUÇÃO 01.04.00127342/2025.82 Plano de Ação n° 09032025-076698/2025,"R$ 1.980.0000,00",CAMILA
CAIXA,574393671-0,1373,Transferência Especial,Emenda Parlamentar: 202533320005-RICARDO BARROS (Assistência Hospitalar e Ambulatorial) – CUSTEIO,SAÚDE,SEI EXECUÇÃO 01.04.00137253/2025.11 Plano de Ação n° 09032025-076699/2025,"R$ 396.000,00",CAMILA
CAIXA,574881322-6,1361,Transferência Especial,Emenda Parlamentar: 202533320005-RICARDO BARROS (Jornada do Empreendedorismo - Edição 2025) – CUSTEIO,SAET,SEI EXECUÇÃO 01.04.00127393/2025.63 Plano de Ação n° 09092025-076700/2025,"R$ 198.000,00",CAMILA
CAIXA,574600792-3,1317,Transferência Especial,Emenda Parlamentar: 202533320005-RICARDO BARROS (Construção de Centro Público de Convivência) – INVESTIMENTO,SAS,SEI EXECUÇÃO 01.04.00127308/2025.30 Plano de Ação n° 09032025-076701/2025,"R$ 990.000,00",CAMILA
CAIXA,574881323-4,1360,Transferência Especial,Emenda Parlamentar: 202533320005-RICARDO BARROS (Implantar Laboratório de Empreendedorismo e Estúdios de Mídia Digital) – INVESTIMENTO,SAET,SEI nº 01.04.00127363/2025.97 Plano de Ação n° 09032025-076702/2025,"R$ 198.000,00",CLÁUDIA
CAIXA,574600793-1,1359,Transferência Especial,Emenda Parlamentar: 202528740001- LUIZ NISHIMORI (Implantaç. De Unidades Modulares) – INVESTIMENTO,SESP,SEI nº 01.04.00127401/2025.41 Plano de Ação n° 09032025-080257/2025,"R$ 425.700,00",CLÁUDIA
CAIXA,574516448-0,1364,Transferência Especial,Emenda Parlamentar: 202540660012-SARGENTO FAHUR (Aquisição de veículos para AMR) – INVESTIMENTO,SETRAB,SEI nº 01.04.00130045/2025.45 Plano de Ação n° 09032025-079799/2025,"R$ 198.000,00",CLÁUDIA
CAIXA,574024377-3,1368,Transferência Especial,Emenda Parlamentar: 202528490012-ZECA DIRCEU (Construção de calçadas e passeios públicos) – INVESTIMENTO,SEMOP,SEI nº 01.04.00146017/2025.63 Plano de Ação n° 09032025-082197/2025,"R$ 594.000,00",CLÁUDIA
CAIXA,573443105-9,1387,Transferência Especial,Emenda Parlamentar: 202540660012-SARGENTO FAHUR (Reforma do Terminal Urbano do Distrito de Iguatemi),SEMOB,SEI nº 01.04.00171782/2025.92 Plano de Ação n° 09032025-2086846,"R$ 396.000,00",CLÁUDIA
CAIXA,569794475-2,1414,Transferência Especial,Emenda Parlamentar nº 202628740001 – Nishimori (obras de revitalização e melhoria da infraes do Parque Alfredo Werner Nyffeller),SAET/SEMOP,SEI n° SEI nº 01.04.00171782/2025.92 Plano de Ação n° 09032025-208684601.04.00068742/2026.15 Plano de Ação nº 09032026-092241,"R$ 995.000,00",ERICK
CAIXA,569487315-3,1412,Transferência Especial,Emenda Parlamentar nº 202628740001 – Nishimori (aquisição de veículo),SEPED,SEI n° 01.04.00069119/2026.21 Plano de Ação nº 09032026-092240,"R$ 238.800,00",CLÁUDIA
CAIXA,569487316-1,1413,Transferência Especial,Emenda Parlamentar nº 202642770001 – Sérgio Moro (aquisição de viaturas para Guarda Municipal),SSM,SEI EXECUÇÃO 01.04.00069130/2026.15 Plano de Ação nº 09032026-094228,"R$ 575.110,00",CAMILA
CAIXA,569446576-4,1417,Transferência Especial,Emenda Parlamentar n° 202640660002- Sargento Fahur - Prestação de serviço de Libras - (Custeio),SEPED,SEI 01.04.00069873/2026.33 Plano de Ação nº 09032026-092272,"R$ 298.500,00",ERICK
CAIXA,568761573-0,1430,Transferência Especial,Emenda Parlamentar: 202633320002-RICARDO BARROS (Reveillon 2027) – CUSTEIO,SEMUC,SEI nº 82880/2026.81 Plano de Ação n° 09032026-091073/2026,"R$ 995.000,00",CAMILA
CAIXA,568689114-8,Definindo,Transferência Especial,Emenda Parlamentar nº 202628740001 do Deputado Federal Luiz Nishimori- serviço de esterização de animais,SEBEA,SEI EXECUÇÃO 01.04.00083357/2026.06 Plano de de Ação n° 09032026-092239/2026,"R$ 199.000,00",CLÁUDIA
